go_id	name
GO:0006103	2-oxoglutarate metabolic process
GO:0006104	succinyl-CoA metabolic process
GO:0006106	fumarate metabolic process
GO:0006107	oxaloacetate metabolic process
GO:0006108	malate metabolic process
GO:0006119	oxidative phosphorylation
GO:0006139	nucleobase-containing compound metabolic process
GO:0006144	purine nucleobase metabolic process
GO:0006145	purine nucleobase catabolic process
GO:0006152	purine nucleoside catabolic process
GO:0006154	adenosine catabolic process
GO:0006163	purine nucleotide metabolic process
GO:0006164	purine nucleotide biosynthetic process
GO:0006166	purine ribonucleoside salvage
GO:0006168	adenine salvage
GO:0006171	cAMP biosynthetic process
GO:0006183	GTP biosynthetic process
GO:0006189	'de novo' IMP biosynthetic process
GO:0006203	dGTP catabolic process
GO:0006207	'de novo' pyrimidine nucleobase biosynthetic process
GO:0006220	pyrimidine nucleotide metabolic process
GO:0006221	pyrimidine nucleotide biosynthetic process
GO:0006223	uracil salvage
GO:0006225	UDP biosynthetic process
GO:0006227	dUDP biosynthetic process
GO:0006228	UTP biosynthetic process
GO:0006231	dTMP biosynthetic process
GO:0006233	dTDP biosynthetic process
GO:0006235	dTTP biosynthetic process
GO:0006241	CTP biosynthetic process
GO:0006259	DNA metabolic process
GO:0006260	DNA replication
GO:0006261	DNA-templated DNA replication
GO:0006265	DNA topological change
GO:0006269	DNA replication, synthesis of primer
GO:0006270	DNA replication initiation
GO:0006271	DNA strand elongation involved in DNA replication
GO:0006275	regulation of DNA replication
GO:0006281	DNA repair
GO:0006284	base-excision repair
GO:0006285	base-excision repair, AP site formation
GO:0006289	nucleotide-excision repair
GO:0006298	mismatch repair
GO:0006302	double-strand break repair
GO:0006304	DNA modification
GO:0006307	DNA alkylation repair
GO:0006308	DNA catabolic process
GO:0006310	DNA recombination
GO:0006313	DNA transposition
GO:0006325	chromatin organization
GO:0006351	DNA-templated transcription
GO:0006352	DNA-templated transcription initiation
GO:0006353	DNA-templated transcription termination
GO:0006354	DNA-templated transcription elongation
GO:0006355	regulation of DNA-templated transcription
GO:0006364	rRNA processing
GO:0006367	transcription initiation at RNA polymerase II promoter
GO:0006396	RNA processing
GO:0006397	mRNA processing
GO:0006400	tRNA modification
GO:0006401	RNA catabolic process
GO:0006402	mRNA catabolic process
GO:0006412	translation
GO:0006415	translational termination
GO:0006417	regulation of translation
GO:0006420	arginyl-tRNA aminoacylation
GO:0006421	asparaginyl-tRNA aminoacylation
GO:0006422	aspartyl-tRNA aminoacylation
GO:0006423	cysteinyl-tRNA aminoacylation
GO:0006424	glutamyl-tRNA aminoacylation
GO:0006426	glycyl-tRNA aminoacylation
GO:0006427	histidyl-tRNA aminoacylation
GO:0006428	isoleucyl-tRNA aminoacylation
GO:0006429	leucyl-tRNA aminoacylation
GO:0006430	lysyl-tRNA aminoacylation
GO:0006431	methionyl-tRNA aminoacylation
GO:0006432	phenylalanyl-tRNA aminoacylation
GO:0006433	prolyl-tRNA aminoacylation
GO:0006434	seryl-tRNA aminoacylation
GO:0006435	threonyl-tRNA aminoacylation
GO:0006436	tryptophanyl-tRNA aminoacylation
GO:0006437	tyrosyl-tRNA aminoacylation
GO:0006438	valyl-tRNA aminoacylation
GO:0006449	regulation of translational termination
GO:0006450	regulation of translational fidelity
GO:0006457	protein folding
GO:0006465	GO:0006465
GO:0006487	protein N-linked glycosylation
GO:0006488	dolichol-linked oligosaccharide biosynthetic process
GO:0006493	protein O-linked glycosylation
GO:0006506	GPI anchor biosynthetic process
GO:0006508	proteolysis
GO:0006515	protein quality control for misfolded or incompletely synthesized proteins
GO:0006518	peptide metabolic process
GO:0006520	amino acid metabolic process
GO:0006523	alanine biosynthetic process
GO:0006526	L-arginine biosynthetic process
GO:0006527	L-arginine catabolic process
GO:0006534	GO:0006534
GO:0006535	GO:0006535
GO:0006537	GO:0006537
GO:0006538	L-glutamate catabolic process
GO:0006541	L-glutamine metabolic process
GO:0006542	GO:0006542
GO:0006556	S-adenosylmethionine biosynthetic process
GO:0006559	L-phenylalanine catabolic process
GO:0006564	L-serine biosynthetic process
GO:0006565	L-serine catabolic process
GO:0006566	L-threonine metabolic process
GO:0006567	L-threonine catabolic process
GO:0006570	GO:0006570
GO:0006571	L-tyrosine biosynthetic process
GO:0006572	L-tyrosine catabolic process
GO:0006592	L-ornithine biosynthetic process
GO:0006598	polyamine catabolic process
GO:0006605	protein targeting
GO:0006614	SRP-dependent cotranslational protein targeting to membrane
GO:0006629	lipid metabolic process
GO:0006631	fatty acid metabolic process
GO:0006633	fatty acid biosynthetic process
GO:0006635	fatty acid beta-oxidation
GO:0006650	glycerophospholipid metabolic process
GO:0006654	phosphatidic acid biosynthetic process
GO:0006666	3-keto-sphinganine metabolic process
GO:0006680	glucosylceramide catabolic process
GO:0006729	tetrahydrobiopterin biosynthetic process
GO:0006730	one-carbon metabolic process
GO:0006740	NADPH regeneration
GO:0006741	NADP+ biosynthetic process
GO:0006742	NADP+ catabolic process
GO:0006743	ubiquinone metabolic process
GO:0006744	ubiquinone biosynthetic process
GO:0006747	FAD biosynthetic process
GO:0006749	glutathione metabolic process
GO:0006750	glutathione biosynthetic process
GO:0006751	glutathione catabolic process
GO:0006753	nucleoside phosphate metabolic process
GO:0006777	Mo-molybdopterin cofactor biosynthetic process
GO:0006779	porphyrin-containing compound biosynthetic process
GO:0006782	GO:0006782
GO:0006783	heme biosynthetic process
GO:0006784	heme A biosynthetic process
GO:0006788	heme oxidation
GO:0006793	phosphorus metabolic process
GO:0006796	phosphate-containing compound metabolic process
GO:0006797	polyphosphate metabolic process
GO:0006799	polyphosphate biosynthetic process
GO:0006808	regulation of nitrogen utilization
